0.57735 0.57735 -2.64487222222 0.526152 0.601317 -2.62090522222 0.549972 0.628539 -2.67225022222
0.549972 0.628539 -2.67225022222 0.601317 0.601317 -2.69607022222 0.57735 0.57735 -2.64487222222
0.526152 0.601317 -2.62090522222 0.468521 0.624695 -2.59752722222 0.491539 0.655386 -2.64876022222
0.491539 0.655386 -2.64876022222 0.549972 0.628539 -2.67225022222 0.526152 0.601317 -2.62090522222
0.549972 0.628539 -2.67225022222 0.491539 0.655386 -2.64876022222 0.514496 0.685994 -2.70772622222
0.514496 0.685994 -2.70772622222 0.573462 0.655386 -2.73068322222 0.549972 0.628539 -2.67225022222
0.601317 0.601317 -2.69607022222 0.549972 0.628539 -2.67225022222 0.573462 0.655386 -2.73068322222
0.573462 0.655386 -2.73068322222 0.624695 0.624695 -2.75370122222 0.601317 0.601317 -2.69607022222
0.468521 0.624695 -2.59752722222 0.404226 0.646762 -2.57546022222 0.425628 0.681005 -2.62634222222
0.425628 0.681005 -2.62634222222 0.491539 0.655386 -2.64876022222 0.468521 0.624695 -2.59752722222
0.404226 0.646762 -2.57546022222 0.333333 0.666667 -2.55555522222 0.35218 0.704361 -2.60590622222
0.35218 0.704361 -2.60590622222 0.425628 0.681005 -2.62634222222 0.404226 0.646762 -2.57546022222
0.425628 0.681005 -2.62634222222 0.35218 0.704361 -2.60590622222 0.371391 0.742781 -2.66513622222
0.371391 0.742781 -2.66513622222 0.447214 0.715542 -2.68556622222 0.425628 0.681005 -2.62634222222
0.491539 0.655386 -2.64876022222 0.425628 0.681005 -2.62634222222 0.447214 0.715542 -2.68556622222
0.447214 0.715542 -2.68556622222 0.514496 0.685994 -2.70772622222 0.491539 0.655386 -2.64876022222
0.514496 0.685994 -2.70772622222 0.447214 0.715542 -2.68556622222 0.468293 0.749269 -2.75392922222
0.468293 0.749269 -2.75392922222 0.536656 0.715542 -2.77500822222 0.514496 0.685994 -2.70772622222
0.447214 0.715542 -2.68556622222 0.371391 0.742781 -2.66513622222 0.39036 0.78072 -2.73427222222
0.39036 0.78072 -2.73427222222 0.468293 0.749269 -2.75392922222 0.447214 0.715542 -2.68556622222
0.468293 0.749269 -2.75392922222 0.39036 0.78072 -2.73427222222 0.408248 0.816497 -2.81397422222
0.408248 0.816497 -2.81397422222 0.48795 0.78072 -2.83186222222 0.468293 0.749269 -2.75392922222
0.536656 0.715542 -2.77500822222 0.468293 0.749269 -2.75392922222 0.48795 0.78072 -2.83186222222
0.48795 0.78072 -2.83186222222 0.557086 0.742781 -2.85083122222 0.536656 0.715542 -2.77500822222
0.624695 0.624695 -2.75370122222 0.573462 0.655386 -2.73068322222 0.59588 0.681005 -2.79659422222
0.59588 0.681005 -2.79659422222 0.646762 0.646762 -2.81799622222 0.624695 0.624695 -2.75370122222
0.573462 0.655386 -2.73068322222 0.514496 0.685994 -2.70772622222 0.536656 0.715542 -2.77500822222
0.536656 0.715542 -2.77500822222 0.59588 0.681005 -2.79659422222 0.573462 0.655386 -2.73068322222
0.59588 0.681005 -2.79659422222 0.536656 0.715542 -2.77500822222 0.557086 0.742781 -2.85083122222
0.557086 0.742781 -2.85083122222 0.616316 0.704361 -2.87004222222 0.59588 0.681005 -2.79659422222
0.646762 0.646762 -2.81799622222 0.59588 0.681005 -2.79659422222 0.616316 0.704361 -2.87004222222
0.616316 0.704361 -2.87004222222 0.666667 0.666667 -2.88888922222 0.646762 0.646762 -2.81799622222
0.333333 0.666667 -2.55555522222 0.256307 0.683486 -2.53873622222 0.271607 0.724286 -2.58847222222
0.271607 0.724286 -2.58847222222 0.35218 0.704361 -2.60590622222 0.333333 0.666667 -2.55555522222
0.256307 0.683486 -2.53873622222 0.174078 0.696311 -2.52591122222 0.1849 0.7396 -2.57507222222
0.1849 0.7396 -2.57507222222 0.271607 0.724286 -2.58847222222 0.256307 0.683486 -2.53873622222
0.271607 0.724286 -2.58847222222 0.1849 0.7396 -2.57507222222 0.196116 0.784465 -2.63387422222
0.196116 0.784465 -2.63387422222 0.287348 0.766261 -2.64752622222 0.271607 0.724286 -2.58847222222
0.35218 0.704361 -2.60590622222 0.271607 0.724286 -2.58847222222 0.287348 0.766261 -2.64752622222
0.287348 0.766261 -2.64752622222 0.371391 0.742781 -2.66513622222 0.35218 0.704361 -2.60590622222
0.174078 0.696311 -2.52591122222 0.088045 0.704361 -2.51786122222 0.093659 0.749269 -2.56661222222
0.093659 0.749269 -2.56661222222 0.1849 0.7396 -2.57507222222 0.174078 0.696311 -2.52591122222
0.088045 0.704361 -2.51786122222 0.0 0.707107 -2.51511522222 0.0 0.752577 -2.56371722222
0.0 0.752577 -2.56371722222 0.093659 0.749269 -2.56661222222 0.088045 0.704361 -2.51786122222
0.093659 0.749269 -2.56661222222 0.0 0.752577 -2.56371722222 0.0 0.8 -2.62222222222
0.0 0.8 -2.62222222222 0.099504 0.79603 -2.62520022222 0.093659 0.749269 -2.56661222222
0.1849 0.7396 -2.57507222222 0.093659 0.749269 -2.56661222222 0.099504 0.79603 -2.62520022222
0.099504 0.79603 -2.62520022222 0.196116 0.784465 -2.63387422222 0.1849 0.7396 -2.57507222222
0.196116 0.784465 -2.63387422222 0.099504 0.79603 -2.62520022222 0.105409 0.843274 -2.69517622222
0.105409 0.843274 -2.69517622222 0.20739 0.829561 -2.70374622222 0.196116 0.784465 -2.63387422222
0.099504 0.79603 -2.62520022222 0.0 0.8 -2.62222222222 0.0 0.847998 -2.69222322222
0.0 0.847998 -2.69222322222 0.105409 0.843274 -2.69517622222 0.099504 0.79603 -2.62520022222
